asin,keyword,match_type,date,impressions,clicks,cpc,ad_spend,attributed_sales,attributed_units,acos,roas
07-IRQL-T5BS,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,15,2,16.25,32.5,0.0,0,0.0,0.0
NC-W1A4-6XI4,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,1,1,9.77,6.52,0.0,0,0.0,0.0
LKN-Weight-GAIN01,weight gain powder,EXACT,2026-01-01,41,4,41.39,124.18,587.15,1,0.211496210508388,4.728217104203575
LKN-Weight-GAIN01,weight gain powder,PHRASE,2026-01-01,458,10,27.91,223.26,587.15,1,0.3802435493485481,2.629893397832124
LKN-Weight-GAIN01,weight gainer,EXACT,2026-01-01,55,1,36.0,36.0,0.0,0,0.0,0.0
LKN-Weight-GAIN01,weight gain,BROAD,2026-01-01,25,7,20.1,120.6,1174.31,1,0.10269860598990045,9.737230514096186
LKN-Weight-GAIN01,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,2,1,18.67,18.67,0.0,0,0.0,0.0
LKN-Weight-GAIN01,naturacare weight gain powder,EXACT,2026-01-01,12,7,6.38,38.31,587.15,1,0.06524738141871754,15.326285565126597
LKN-Weight-GAIN01,naturacare naturals weight gain powder,EXACT,2026-01-01,20,11,5.28,47.5,587.14,1,0.08090063698606806,12.360842105263158
LKN-Weight-GAIN01,naturacare naturals,BROAD,2026-01-01,3,0,11.92,0.21,0.0,0,0.0,0.0
LKN-Weight-GAIN01,naturacare naturals,PHRASE,2026-01-01,313,1,7.3,7.18,0.0,0,0.0,0.0
LKN-Weight-GAIN01,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,39,2,19.26,38.52,0.0,0,0.0,0.0
LKN-Redensyl serum,redensyl serum,BROAD,2026-01-01,14,1,29.7,29.7,0.0,0,0.0,0.0
LKN-Redensyl serum,naturacare naturals,PHRASE,2026-01-01,197,1,16.19,15.91,0.0,0,0.0,0.0
LKN-Redensyl serum,naturacare naturals,BROAD,2026-01-01,2,0,26.44,0.46,0.0,0,0.0,0.0
LKN-Redensyl serum,hair growth serum,PHRASE,2026-01-01,54,1,31.44,31.44,0.0,0,0.0,0.0
LKN-HGOIL-200ML,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,1,1,14.47,14.47,0.0,0,0.0,0.0
LKN-HGOIL-200ML,natural hair oil,BROAD,2026-01-01,16,1,29.06,29.06,0.0,0,0.0,0.0
KV-CO22-5TQK,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,5,2,16.71,28.64,0.0,0,0.0,0.0
LH-QRXG-BC86,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,103,2,15.54,31.07,0.0,0,0.0,0.0
LKN-Gummies01,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,47,5,22.44,89.75,580.61,1,0.15457880504986135,6.469192200557103
LKN-Gummies01,naturacare gummies,EXACT,2026-01-01,2,1,16.51,16.51,0.0,0,0.0,0.0
LKN-Gummies01,naturacare hair gummies,PHRASE,2026-01-01,7,2,18.87,37.74,807.01,2,0.04676521976183691,21.383412824589293
LKN-Gummies01,naturacare naturals gummies,PHRASE,2026-01-01,4,2,1.78,3.56,0.0,0,0.0,0.0
NC-W1A4-6XI4,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,0,0,17.94,5.98,0.0,0,0.0,0.0
LKN-Gummies01,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,549,12,21.72,217.23,3631.14,6,0.059824187445265124,16.71564701008148
