asin,keyword,match_type,date,impressions,clicks,cpc,ad_spend,attributed_sales,attributed_units,acos
07-IRQL-T5BS,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,15,2,16.25,32.50,0.00,0,0.00
09-NY8V-51DZ,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,0,0,10.05,1.34,0.00,0,0.00
09-NY8V-51DZ,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,4,0,14.57,3.89,0.00,0,0.00
09-NY8V-51DZ,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,4,0,17.62,7.05,0.00,0,0.00
09-NY8V-51DZ,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,117,1,15.94,19.13,0.00,0,0.00
0Y-IUMK-9L39,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,1,1,1.49,0.62,0.00,0,0.00
0Y-IUMK-9L39,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,34,3,8.11,20.27,0.00,0,0.00
0Y-IUMK-9L39,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,16,3,8.21,17.10,0.00,0,0.00
2V-LWYR-38TF,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,75,1,1.78,1.78,0.00,0,0.00
54-N90S-Z2EK,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,289,8,13.87,93.66,559.81,1,16.73
54-N90S-Z2EK,naturacare natural,PHRASE,2026-01-01,1429,18,10.35,155.26,456.68,1,34.00
54-N90S-Z2EK,naturacare naturals,BROAD,2026-01-01,4,0,18.95,1.33,0.00,0,0.00
54-N90S-Z2EK,naturacare naturals,PHRASE,2026-01-01,379,5,11.61,45.62,1370.00,2,3.33
54-N90S-Z2EK,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,343,23,12.74,238.95,1834.42,5,13.03
54-N90S-Z2EK,nalangu maavu,BROAD,2026-01-01,156,10,13.88,111.02,1033.31,2,10.74
54-N90S-Z2EK,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,157,2,5.51,8.27,0.00,0,0.00
6A-X1F7-F5Q6,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,6,1,6.19,6.19,0.00,0,0.00
6A-X1F7-F5Q6,naturacare naturals,BROAD,2026-01-01,8,0,13.62,3.34,0.00,0,0.00
6A-X1F7-F5Q6,naturacare naturals,PHRASE,2026-01-01,729,17,8.34,114.72,1760.70,5,6.52
6A-X1F7-F5Q6,naturacare saffron night gel,BROAD,2026-01-01,1,1,6.44,6.44,0.00,0,0.00
6A-X1F7-F5Q6,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,5,1,4.06,4.06,458.59,1,0.88
6A-X1F7-F5Q6,night gel,BROAD,2026-01-01,10,4,17.61,52.84,0.00,0,0.00
6A-X1F7-F5Q6,saffron gel,PHRASE,2026-01-01,15,5,16.58,66.31,0.00,0,0.00
6Z-V54C-G5K5,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,1,0,2.03,0.68,0.00,0,0.00
6Z-V54C-G5K5,complements,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,55,2,11.04,22.08,0.00,0,0.00
6Z-V54C-G5K5,naturacare naturals,PHRASE,2026-01-01,622,2,13.41,26.36,0.00,0,0.00
6Z-V54C-G5K5,naturacare naturals,BROAD,2026-01-01,7,0,21.90,0.77,0.00,0,0.00
6Z-V54C-G5K5,substitutes,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,26,2,11.18,18.63,0.00,0,0.00
abcmalt-200g,abc malt,PHRASE,2026-01-01,2,2,11.50,23.00,0.00,0,0.00
abcmalt-200g,abc malt powder,PHRASE,2026-01-01,1454,22,18.81,338.66,1171.68,2,28.90
abcmalt-200g,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,1508,34,18.68,523.00,1856.68,4,28.17
abcmalt-200g,naturacare abc malt powder,EXACT,2026-01-01,578,5,38.51,154.03,0.00,0,0.00
abcmalt-200g,loose-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,81,12,31.67,316.70,585.84,1,54.06
B0-BVJJ-KPBN,ayurvedic shampoo,PHRASE,2026-01-01,44,2,26.73,53.46,0.00,0,0.00
B0-BVJJ-KPBN,naturacare naturals,PHRASE,2026-01-01,394,6,19.55,96.05,0.00,0,0.00
B0-BVJJ-KPBN,naturacare naturals,BROAD,2026-01-01,4,0,31.92,2.80,0.00,0,0.00
B0-BVJJ-KPBN,shampoo,PHRASE,2026-01-01,2,2,19.02,38.04,0.00,0,0.00
CA-AE0J-5F22,close-match,TARGETING_EXPRESSION_PREDEFINED,2026-01-01,0,0,1.48,0.12,0.00,0,0.00
