asin,product_title,category,sub_category,date,units_sold,selling_price,unit_cost,fba_fees,revenue,profit_margin_pct,bsr_rank,stock_level
B09L4ZTM2V,NaturaCare Natural Pimple Face Gel-50 G || Natural Pimple Gel with neem and turmeric - Convenient & Effective Solution for Clear Skin ||,Face gel,Pimple Face Gel,2026-01-01,1,404.15,0.00,3.88,404.15,,0,0
B0BKLQHQ8B,"NaturaCare Black Spot Cream-30g || A revolutionary product that can remove Black Spots, stretch marks, and scars on your face and leaving your skin smooth and pure ||",Face care,Face Creams,2026-01-01,1,616.50,0.00,12.70,616.50,,0,0
B0BKZW578S,NaturaCare Natural Red Sandal Shine & Glow Face Pack-50g Natural & Pure Formula|,skin glow and tan,Face Pack,2026-01-01,1,404.15,0.00,9.70,404.15,,0,0
B0BL43KX8L,"NaturaCare Natural Coffee De-Tan Scrub-50g with Coffee Extract, Olive oil, Almond oil, Hydrogenated Castor Oil, Micronized Nano-Particles, Emulsifying wax ||Organic Coffee De-Tan Scrub - Brighten & Nourish Skin with Natural Ingredients - Exfoliate & Remove Dark Spots||",Face care,De-Tan Scrub,2026-01-01,1,404.15,0.00,6.47,404.15,,0,0
B0BL73PT5W,"NaturaCare Natural Anti-Acne Face Wash-100ml with Thulasi Extract, Sandal Oil, Neem Extract, Coco Glucoside ||Cleanses & Exfoliates for Clear & Refreshed Skin - All Skin Types ||",Face Wash,Anti-Acne Face Wash,2026-01-01,1,404.15,0.00,8.62,404.15,,0,0
B0BL7BS81Z,"NaturaCare Natural Rose + Geranium Glow Gel For Dusky Skin-Improve a dull complexion to a brighter tone, which is super beneficial for dusky tone skin50g",skin glow and tan,Glow Gel,2026-01-01,1,479.50,0.00,17.78,479.50,,0,0
B0BM48KNBN,"NaturaCare Natural Beetroot lip balm-6g ||Organic- Natural, Safe & Hydrating for All Skin Types, Perfect for Dry, Chapped Lips",Lip Care,Beetroot Lip Balm,2026-01-01,4,267.15,0.00,8.29,801.45,,0,0
B0BM4FC2DV,"NaturaCare Strawberry lip balm- 6g, Strawberry Lip Balm - Hydrates & Repairs Dry Lips with Key Ingredients",Lip Care,Strawberry Lip Balm,2026-01-01,1,267.15,0.00,7.27,267.15,,0,0
B0BT7WG7WP,"NaturaCare Natural Sunscreen Spf 50-50G With Aqua, Avocado Oil, Glycerin, Triethanolamine, Edta, Cetyl, Titanium Dioxide, Zinc Oxide|Maximum Protection With Natural Ingredients|For All Skin Types",Body Lotion,Sunscreen Spf 50,2026-01-01,1,546.63,0.00,17.97,546.63,,0,0
B0BTLXHXT8,NaturaCare Naturals Goat Milk Redwine Soap Bar-100g ||Pamper Your Skin with Antioxidant Rich Cleansing||,Goat Milk Soap,Goat Milk Redwine,2026-01-01,1,239.75,0.00,9.70,239.75,,0,0
B0BTPLBWBQ,NaturaCare Natural Saffron Moisturizing Cream All Natural Nourishment|-50g,skin glow and tan,Moisturizers,2026-01-01,1,479.50,0.00,12.22,479.50,,0,0
B0BTPN2V15,aturaCare Natural All Day Fresh Cream|Essential Oils & Botanical Extracts - Hydrates & Revitalizes Skin|50 g,Face care,Face Creams,2026-01-01,2,479.50,0.00,0.00,959.00,,0,0
B0BTQLTDG6,"NaturaCare Natural Combo of Biotin enriched onion hair oil, Biotin gummies and Conditioning shampoo-430 ml ||Biotin Trio Set for Strong, Nourished Hair||",Hair Combo,Hair Combo Kit,2026-01-01,2,1902.93,0.00,284.71,3805.86,,0,0
B0CJMF3TPN,NaturaCare Naturals Slim & Strength Weight Loss Powder 500g | Natural Weight Management & Energy Boost Formula | Supports Metabolism & Enhances Muscle Tone | Sugar-Free & Plant-Based,Weight Management,Weight Loss,2026-01-01,50,719.25,0.00,45.76,29489.25,,0,0
B0CKBKJC3D,"NaturaCare NAturals Goat Milk Shampoo | Nourishing & Moisturizing Shampoo for Soft, Shiny Hair | Enriched with Natural Proteins & Vitamins | Suitable for All Hair Types""",Hair Shampoos,Goat Milk Shampoo,2026-01-01,1,472.65,0.00,21.02,472.65,,0,0
B0CTDZ8GQH,"NaturaCare Naturals Hibiscus Shampoo - 200 ml with Hibiscus, Lavender buds, Neem leaves || Shampoo - Nourish and Strengthen Hair ||",Hair Shampoos,Hisbiscus Shampoos,2026-01-01,18,383.60,0.00,8.11,5754.00,,0,0
B0CV14GGRY,"NaturaCare Nalangu maavu|| Traditional Herbal Powder|| Gives shine & Glow | Natural Skin Care & Cleansing Powder | Brightens, Exfoliates & Nourishes Skin | Ayurvedic Beauty Ritual""",Body care,Nalangu Mavvu,2026-01-01,7,599.38,0.00,22.19,3596.25,,0,0
B0CV191CD6,"NaturaCare Naturals Vitamin C Glow Serum|| Softening, Hydrating, Brightens & Evens Skin Tone |",Hair Care,Vitamin C Glow Serum,2026-01-01,1,685.00,0.00,21.74,685.00,,0,0
B0DHH75TQ4,"NaturaCare Naturals Natural Henna Hair Dye, No Ammonia, For All Hair Types | Hair Color | Rich, Long-Lasting Color & Shine | Safe for All Hair Types | Vegan & Cruelty-Free""",Hair Care,Henna Hair Dye,2026-01-01,23,474.45,0.00,14.10,9014.60,,0,0
B0DR346PWR,"NATURACARE NATURALS 32 Herbs Hair growth Oil | Natural Oil Blend for Stronger, Thicker Hair | Promotes Hair Growth & Reduces Hair Fall | Enriched with Ayurvedic Herbs""",Hair Care,32 Herbs Hair Growth Oil,2026-01-01,18,548.00,0.00,15.32,8220.00,,0,0
B0DZTKSRX7,"NaturaCare ABC Malt Health Drink Powder – Apple, Beetroot & Carrot Blend | Immunity Booster & Natural Energy | Antioxidant-Rich Daily Nutrition | 200 g",Milk Mixtures,Abc Malt,2026-01-01,10,615.13,0.00,22.54,4921.04,,0,0
B0F6K4ZJX4,"NaturaCare Natural Saffron Night Gel -100g || Revitalize Your Skin with Our Saffron Infused Night Gel- Experience Radiant, Youthful Results |Lightweight Overnight Repair",Face gel,Saffron Night Gel,2026-01-01,11,541.15,0.00,14.74,4870.35,,0,0
B0F6MZ1NRQ,"NaturaCare Anti-Dandruff Shampoo, 100m| Effective Scalp Treatment | Controls Flakes & Itch| Nourishing Formula for Healthy Hair",Hair Shampoos,Anti Dandruff Shampoo,2026-01-01,7,404.15,68.50,6.34,2424.90,,0,0
B0F6N5XPBS,"NaturaCare Naturals Premium Herbal Shampoo | Volumizing, Nourishing & Anti Hair Fall | Paraben & Sulphate Free for All Hair Types | Natural Growth & Scalp Strength | 200 ml",Hair Shampoos,Herbal Shampoo,2026-01-01,2,404.15,0.00,10.28,808.30,,0,0
B0FYQBV8T2,"NaturaCare Naturals Slim & Strength Multi Grain Health Mix Powder 1 kg | Sprouted Millets, Pulses & Seeds Blend | Plant-Based Traditional Nutrition Mix",Weight Management,Weight Loss,2026-01-01,50,1368.63,0.00,114.22,56113.83,,0,0
B0G4368ZFX,"NaturaCare Naturals 500gm Natural Mass Powder for Weight Gain – 1,200+ Calories, Fast Muscle Growth Supplement, High-Calorie Formula for Men & Women",Weight Management,Weight Gain,2026-01-01,11,616.50,0.00,27.11,5548.50,,0,0
B0G44HZFHD,"NaturaCare Naturals Advanced Hair Growth Serum 30 ml with Redensyl 3%, Anagain 4%, Baicapil 2% & Caffeine – Plant Based Serum to Stimulate Hair Regrowth, Support Hair Density & Scalp Care for Men & Women",Hair Care,Redensyl Hair Growth Serum,2026-01-01,1,1096.00,0.00,61.17,1096.00,,0,0
B0G94NLS8S,"NaturaCare Naturals Biotin Hair Gummies | Supports Hair Growth & Hair Fall Control | With Zinc, Vitamins & Prebiotics | No Added Sugar | 30 Gummies",Hair Care,Biotin Hair Gummies,2026-01-01,6,609.65,0.00,21.92,3048.25,,0,0
B09L4ZTM2V,NaturaCare Natural Pimple Face Gel-50 G || Natural Pimple Gel with neem and turmeric - Convenient & Effective Solution for Clear Skin ||,Face gel,Pimple Face Gel,2026-01-02,1,404.15,0.00,3.88,404.15,,0,0
B0BJ23V576,"NaturaCare Natural Anti-Frizz Hair Serum-100Ml Formulated With Olive Oil,Amlajojoba Oil & Hibiscus Oil ||Tame Your Frizz With Our Advanced Anti-Frizz Hair Serum-Say Goodbye To Unmanageable Hair",Hair Care,Anti-Frizz Hair Serum,2026-01-02,1,479.50,0.00,18.19,479.50,,0,0
B0BL73PT5W,"NaturaCare Natural Anti-Acne Face Wash-100ml with Thulasi Extract, Sandal Oil, Neem Extract, Coco Glucoside ||Cleanses & Exfoliates for Clear & Refreshed Skin - All Skin Types ||",Face Wash,Anti-Acne Face Wash,2026-01-02,2,404.15,0.00,8.62,808.30,,0,0
B0BM48KNBN,"NaturaCare Natural Beetroot lip balm-6g ||Organic- Natural, Safe & Hydrating for All Skin Types, Perfect for Dry, Chapped Lips",Lip Care,Beetroot Lip Balm,2026-01-02,2,267.15,0.00,8.29,534.30,,0,0
B0BM4FC2DV,"NaturaCare Strawberry lip balm- 6g, Strawberry Lip Balm - Hydrates & Repairs Dry Lips with Key Ingredients",Lip Care,Strawberry Lip Balm,2026-01-02,1,267.15,0.00,7.27,267.15,,0,0
B0BNBLMNDJ,"NaturaCare Rice Goat Milk Soap-100g Extra virgin olive oil, Farm fresh goat milk, Coconut oil ||100% Natural Ingredients for Radiant Skin ||",Goat Milk Soap,Goat Milk Soap,2026-01-02,4,239.75,0.00,9.70,719.25,,0,0
B0BT7RLV9R,"NaturaCare Natural Baby Lotion-100g with Aqua, Cocoa Butter, Shea butter, Almond Oil, Coconut Oil, Avocado oil, Aloe vera extract, Papaya Extract ||Gentle and Nourishing for Delicate Skin||",Baby care,Baby Lotions,2026-01-02,1,479.50,0.00,17.78,479.50,,0,0
B0BTJ1GCXG,"NaturaCare Natural Rose water -200ml ||Natural Toner, Hydrating Mist, and Soothing Remedy||",Face care,Natural Rose Water,2026-01-02,1,274.00,0.00,32.33,274.00,,0,0
B0BTPLBWBQ,NaturaCare Natural Saffron Moisturizing Cream All Natural Nourishment|-50g,skin glow and tan,Moisturizers,2026-01-02,1,479.50,0.00,12.22,479.50,,0,0
B0CJMF3TPN,NaturaCare Naturals Slim & Strength Weight Loss Powder 500g | Natural Weight Management & Energy Boost Formula | Supports Metabolism & Enhances Muscle Tone | Sugar-Free & Plant-Based,Weight Management,Weight Loss,2026-01-02,75,719.25,0.00,45.76,43874.25,93.17,0,0
